'CLIENT','ID','PLAN','Joint Client ID','Source: Directory CLIENT NAME','Source: MIS Client Listing Detail CLIENT NAME','MEMBER','PSID','Account Number','PROV OF RES','PROV OF EMP','EMP STATUS','EMP STATUS EFF DATE','ADDR STAT','ADDR STAT DATE','LNG','DOB','SIN','LAST NAME','FIRST NAME','ADDR LINE 1','ADDR LINE 2','ADDR LINE 3','ADDR LINE 4','POSTAL CODE','CONTRACT','AMOUNT','PRODUCT TYPE','REG NUMB','PROV OF REG','DATE OF COVERAGE','NEW PLAN ','FUND CODE','ASSET CATEGORY','FUND NAME','CURRENCY','LAST STATEMENT DATE','LAST STATEMENT UNIT VALUE','UNITS HELD','UNCLAIMED CASE?','CHQ NUM','CHQ AMT','CHQ STALE DATE'
'C007P','07P','1','C007P0198999','Retirement and Savings Program','SNC-Lavalin Group Inc.','112762','16367','16367112762','100','105','T','20171020',' ','20211021','E','6-Feb-80','956789010','TESTN','DUMMY','1 COMMISSIONERS ROAD EAST','UNIT 101','LONDON','CANADA','N6C5Z3','98999','2799.52','DCPP','1306950','105','20171020','TRUE','','','DCPP','','','','','','','',''
'C007P','07P','1','C007P0198999','Retirement and Savings Program','SNC-Lavalin Group Inc.','07P000001','16367','1636707P000001','105','105','T','20170714',' ','20191223','F','20-Dec-42','934567892','TEST1','TTESTT','227 KING STREET SOUTH','WATERLOO ON','','','N2J1R2','98999','4958.59','DCPP','1306950','105','20170714','TRUE','','','','','','','','','','',''
'C007P','07P','1','C007P0198999','Retirement and Savings Program','SNC-Lavalin Group Inc.','07P000002','16367','1636707P000002','111','105','T','20170718',' ','20170417','F','25-Feb-93','967890120','TEST2','ATEST','BOX 2426 YONGE-EGLINTON','2300 YONGE ST','TORONTO                       ON','CANADA','M4P1E4','98999','5238.1','DCPP','1306950','105','20170718','TRUE','','','','','','','','','','',''
'C007P','07P','1','C007P0198999','Retirement and Savings Program','SNC-Lavalin Group Inc.','07P000003','16367','1636707P000003','105','105','T','20180803',' ','20191223','F','12-Jan-91','812345676','TEST3','BTEST','CORPORATE PLAZA','1300-2075 KENNEDY RD','SCARBOROUGH                   ON','CANADA','M1T3V3','98999','9867.75','DCPP','1306950','105','20180803','TRUE','','','','','','','','','','',''
'C01PD','1PD','2','C01PD0266373','Group RRSP For Acton Employees(GA 6998)','LOUISIANA-PACIFIC CANADA LTD','1122056','9869','98691122056','105','105','T','20010814',' ','20190215','F','15-Jan-76','900000308','DSRTESTSS','TESTT','80 KING ST.  STE 501','','ST. CATHARINES                ON','CANADA','L2R7G1','66373','2226.27','DCPP','973131','110','20010814','FALSE','','','','','','','','','','',''
'C01QQ','1QQ','30','C01QQ3063721','Parker Hannifin Canada Group Savings  Plans (GA 7147-30)','PARKER HANNIFIN CANADA','100000030','9908','9.9081E+12','105','105','D','20190926',' ','20220308','E','22-Aug-80','30492581','TBTEST','KMTEST','1 COMMISSIONERS ROAD EAST','UNIT 101','LONDON','CANADA','N6C5Z3','63721','2368.44','DCPP1','556407','106','20190926','FALSE','','','','','','','','','','',''
'C01QQ','1QQ','30','C01QQ3063721','Parker Hannifin Canada Group Savings  Plans (GA 7147-30)','PARKER HANNIFIN CANADA','100000031','9908','9.9081E+12','105','105','T','20150823',' ','20200911','F','2-Feb-75','12345674','GHTEST','FTTEST','227 KING STREET SOUTH','WATERLOO ON','','','N2J1R2','63721','5717.96','DCPP1','556407','106','20150823','FALSE','','','','','','','','','','',''
'C01QQ','1QQ','30','C01QQ3063721','Parker Hannifin Canada Group Savings  Plans (GA 7147-30)','PARKER HANNIFIN CANADA','100000056','9908','9.9081E+12','105','105','T','20071011',' ','20210519','F','20-Jul-68','30492581','ZSTEST','PETEST','BOX 2426 YONGE-EGLINTON','2300 YONGE ST','TORONTO                       ON','CANADA','M4P1E4','63721','11340.55','DCPP1','556407','106','20071011','FALSE','','','','','','','','','','',''
'C03B1','3B1','1','C03B10198388','Bristol-Myers Squibb Canada Retirement Savings Plan','BRISTOL-MYERS SQUIBB CANADA','3BA000001','6331','063313BA000001','105','105','T','20131113',' ','0','F','11-Apr-70','67890129','DAISX','TESTK','CORPORATE PLAZA','1300-2075 KENNEDY RD','SCARBOROUGH                   ON','CANADA','M1T3V3','98388','1406.8','DCPP1','336511','105','20131113','FALSE','','','','','','','','','','',''
'C03B1','3B1','1','C03B10198058','Bristol-Myers Squibb Canada Retirement Savings Plan','BRISTOL-MYERS SQUIBB CANADA','3BA000002','6331','063313BA000002','105','105','T','20150506',' ','20200923','F','11-May-75','78901238','BLACZ','TESTKM','80 KING ST.  STE 501','','ST. CATHARINES                ON','CANADA','L2R7G1','98058','1670.19','DCPP','336511','105','20150506','TRUE','','','','','','','','','','',''
